NOME_PRODUTO,URL,CATEGORIA,PORCAO,CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Jasmine Suply Aveia sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/suply-aveia-sem-gl%C3%BAten/2-colheres-de-sopa,Produto Jasmine Alimentos,30,108,17.0,4.5,2.4,0.6,3.2,0.0,0
Jasmine Bites sem Glúten Tapioca Salgada,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/bites-sem-gl%C3%BAten-tapioca-salgada/1-pacote,Produto Jasmine Alimentos,25,102,16.0,1.4,3.5,0.9,0.4,1.5,169
Jasmine Granola sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-sem-gl%C3%BAten/1-2-x%C3%ADcara-de-ch%C3%A1,Produto Jasmine Alimentos,40,155,28.0,4.7,2.7,0.5,3.0,0.0,5
Jasmine Pão com Coco sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-com-coco-sem-gl%C3%BAten/2-fatias,Produto Jasmine Alimentos,50,119,21.0,1.9,3.1,1.1,0.5,0.0,102
Jasmine Gran Cookies Alfarroba e Amêndoas Zero Açúcar,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/gran-cookies-alfarroba-e-am%C3%AAndoas-zero-a%C3%A7%C3%BAcar/3-unidades,Produto Jasmine Alimentos,30,106,13.0,2.3,5.7,1.6,2.5,0.0,51
Jasmine Calda de Agave Azul,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/calda-de-agave-azul/2-colheres-de-sopa,Produto Jasmine Alimentos,20,60,15.0,0.0,0.0,0.0,0.0,0.0,0
Jasmine Pão Integral sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-integral-sem-gl%C3%BAten/2-fatias,Produto Jasmine Alimentos,50,97,19.0,1.1,1.9,0.7,0.6,0.7,94
Jasmine Super Nuts Bar,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/super-nuts-bar/1-barra,Produto Jasmine Alimentos,22,72,9.2,2.2,2.9,0.5,2.5,0.0,52
Jasmine Sou Fruit Banana e Maçã,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/sou-fruit-banana-e-ma%C3%A7%C3%A3/100g,Produto Jasmine Alimentos,100,66,16.0,0.6,0.0,0.0,1.0,0.0,0
Jasmine Quinoa Real em Flocos,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/quinoa-real-em-flocos/2-3-x%C3%ADcara,Produto Jasmine Alimentos,45,171,31.0,5.9,2.6,0.4,2.7,0.0,10
Jasmine Mini Cookies Morango,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/mini-cookies-morango/1-pacote,Produto Jasmine Alimentos,35,116,19.0,2.3,3.9,0.6,3.0,0.0,49
Jasmine Aveia Flocos Finos Sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/aveia-flocos-finos-sem-gl%C3%BAten/2-colheres-de-sopa,Produto Jasmine Alimentos,30,108,17.0,4.5,2.4,0.6,3.2,0.0,0
Jasmine Cookies Integrais Aveia e Mel,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-aveia-e-mel/9-unidades,Produto Jasmine Alimentos,30,118,20.0,2.1,3.3,1.4,1.2,0.0,47
Jasmine Cookies Integrais Diet Castanha de Caju,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-diet-castanha-de-caju/8-unidades,Produto Jasmine Alimentos,30,99,14.0,2.2,4.6,0.9,2.5,0.0,42
Jasmine Sou Sweet Banana e Aveia,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/sou-sweet-banana-e-aveia/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,25,101,15.0,1.9,3.7,1.0,2.5,0.0,45
Jasmine Maca Peruana,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/maca-peruana/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,50,166,35.0,6.4,0.0,0.0,2.5,0.0,12
Jasmine Cookies Integrais Diet Ameixa Preta e Coco,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-diet-ameixa-preta-e-coco/8-unidades,Produto Jasmine Alimentos,30,91,14.0,2.0,3.8,0.9,2.5,0.0,43
